ts,dt,hype_close,btc_close,ratio,beta,correlation,half_life,zscore_raw,raw_zscore,raw_ratio_rsi,raw_ratio_stoch_rsi,raw_ratio_macd,raw_ratio_ema_cross,raw_ratio_ema_trend,raw_ratio_vwap_dev,raw_obi_diff,raw_cvd_diff,raw_depth_skew_diff,raw_basis_diff,raw_funding_diff,sig_zscore,sig_ratio_rsi,sig_ratio_stoch_rsi,sig_ratio_macd,sig_ratio_ema_cross,sig_ratio_ema_trend,sig_ratio_vwap_dev,sig_obi_diff,sig_cvd_diff,sig_depth_skew_diff,sig_basis_diff,sig_funding_diff,weighted_sum,action,position,hype_hs_mid,btc_hs_mid,hype_bn,btc_bn,hype_funding,btc_funding
1771280700,2026-02-16 22:25:00,30.8010,68581.00,0.00044912,0.8843,0.6061,17.5,3.3559,3.355883,73.250235,92.449534,0.000000,0.440350,0.497297,1.258848,-0.293679,0.202449,0.651567,-144.258215,-0.000102,-1.0000,-0.7750,-1.0000,1.0000,0.4404,0.2486,-1.0000,-0.5874,0.6748,1.0000,1.0000,0.1020,-0.1340,FLAT,0.0000|0.000000,30.3670,68604.00,30.8010,68581.00,-0.000118,-0.000016
1771281000,2026-02-16 22:30:00,30.7110,68658.50,0.00044730,0.8660,0.5927,10.8,2.4517,2.451731,62.438944,10.478940,0.000000,0.411896,0.509767,0.830190,-0.512685,-0.274712,-0.218305,-7.887195,-0.000153,-1.0000,-0.4146,1.0000,0.7086,0.4119,0.2549,-1.0000,-1.0000,-0.9157,-0.4366,0.1577,0.1530,-0.3049,SHORT_HYPE_LONG_BTC,0.0000|0.000000,30.6955,68678.00,30.7110,68658.50,-0.000133,0.000020
1771281300,2026-02-16 22:35:00,30.7940,68632.60,0.00044868,0.8730,0.5906,15.7,2.8921,2.892112,66.478431,41.106102,0.000000,0.417344,0.536119,1.102619,-0.392988,0.214220,0.009070,-3.473236,-0.000190,-1.0000,-0.5493,0.2965,0.6513,0.4173,0.2681,-1.0000,-0.7860,0.7141,0.0181,0.0695,0.1900,-0.1885,FLAT,0.0000|0.000000,30.8205,68715.50,30.7940,68632.60,-0.000133,0.000057
1771281600,2026-02-16 22:40:00,30.6580,68568.40,0.00044712,0.8721,0.5718,11.6,2.1697,2.169696,58.758689,0.000000,0.000000,0.375518,0.538048,0.734076,0.171622,-0.535807,0.378637,2.811255,-0.000234,-1.0000,-0.2920,1.0000,0.3315,0.3755,0.2690,-1.0000,0.3432,-1.0000,0.7573,-0.0562,0.2340,-0.1305,FLAT,0.0000|0.000000,30.6765,68590.50,30.6580,68568.40,-0.000164,0.000070
1771281900,2026-02-16 22:45:00,30.7240,68626.10,0.00044770,0.8347,0.5649,12.8,2.3437,2.343692,60.604778,11.919947,0.000000,0.352566,0.545244,0.854192,-0.145484,0.385053,-0.227776,-14.432464,-0.000158,-1.0000,-0.3535,1.0000,0.1632,0.3526,0.2726,-1.0000,-0.2910,1.0000,-0.4556,0.2886,0.1580,-0.1288,FLAT,0.0000|0.000000,30.6870,68642.50,30.7240,68626.10,-0.000123,0.000035
1771282200,2026-02-16 22:50:00,30.7070,68645.90,0.00044732,0.8389,0.5676,13.4,2.1364,2.136427,58.782194,0.151764,-0.000000,0.320259,0.545084,0.761042,-0.999591,-0.027323,-0.213886,-3.427175,-0.000227,-1.0000,-0.2927,1.0000,-0.0361,0.3203,0.2725,-1.0000,-1.0000,-0.0911,-0.4278,0.0685,0.2270,-0.3102,SHORT_HYPE_LONG_BTC,0.0000|0.000000,30.6950,68642.50,30.7070,68645.80,-0.000143,0.000084
1771282500,2026-02-16 22:55:00,30.7260,68561.10,0.00044816,0.8324,0.5645,16.2,2.3784,2.378382,61.528227,17.882526,-0.000000,0.311195,0.553446,0.944603,-0.322627,-0.038184,-0.567278,-10.735803,-0.000205,-1.0000,-0.3843,1.0000,-0.0757,0.3112,0.2767,-1.0000,-0.6453,-0.1273,-1.0000,0.2147,0.2050,-0.3233,SHORT_HYPE_LONG_BTC,0.0000|0.000000,30.7035,68584.50,30.7260,68561.10,-0.000139,0.000066
1771282800,2026-02-16 23:00:00,30.7440,68648.90,0.00044784,0.8389,0.5689,16.9,2.1883,2.188279,59.918316,7.487553,-0.000000,0.291344,0.555111,0.862663,0.131997,-0.267809,0.155823,-15.221353,-0.000236,-1.0000,-0.3306,1.0000,-0.1723,0.2913,0.2776,-1.0000,0.2640,-0.8927,0.3116,0.3044,0.2360,-0.2027,FLAT,0.0000|0.000000,30.6865,68625.00,30.7440,68648.90,-0.000185,0.000051
1771283100,2026-02-16 23:05:00,30.7310,68631.10,0.00044777,0.8847,0.5817,16.4,2.1105,2.110494,59.523149,4.936012,-0.000000,0.269816,0.553844,0.833862,0.333982,0.295695,0.742537,40.263006,-0.000403,-1.0000,-0.3174,1.0000,-0.2660,0.2698,0.2769,-1.0000,0.6680,0.9856,1.0000,-0.8053,0.4030,-0.0210,FLAT,0.0000|0.000000,30.8670,68665.00,30.7310,68637.60,-0.000346,0.000057
1771283400,2026-02-16 23:10:00,30.7210,68710.00,0.00044711,0.8926,0.5854,16.4,1.8292,1.829234,55.945315,0.000000,-0.000000,0.233163,0.542753,0.676210,0.222534,-0.259159,-0.198926,-13.971778,-0.000268,-0.9146,-0.1982,1.0000,-0.4343,0.2332,0.2714,-1.0000,0.4451,-0.8639,-0.3979,0.2794,0.2680,-0.2351,FLAT,0.0000|0.000000,30.6800,68710.00,30.7210,68705.70,-0.000229,0.000039
1771283700,2026-02-16 23:15:00,30.8200,68728.50,0.00044843,0.8913,0.5805,20.9,2.2310,2.230999,60.997309,27.605368,-0.000000,0.234457,0.547603,0.953103,-0.450180,0.305894,0.136983,-2.946364,-0.000193,-1.0000,-0.3666,0.7465,-0.3630,0.2345,0.2738,-1.0000,-0.9004,1.0000,0.2740,0.0589,0.1930,-0.2292,FLAT,0.0000|0.000000,30.7950,68693.00,30.8200,68728.50,-0.000158,0.000035
1771284000,2026-02-16 23:20:00,30.9560,68735.40,0.00045036,0.8951,0.5771,35.3,2.7862,2.786179,66.971758,63.718545,-0.000000,0.278220,0.573985,1.307939,-0.108165,0.583443,0.020885,-1.584357,-0.000213,-1.0000,-0.5657,-0.4573,-0.0589,0.2782,0.2870,-1.0000,-0.2163,1.0000,0.0418,0.0317,0.2130,-0.2430,FLAT,0.0000|0.000000,30.9320,68693.00,30.9560,68735.40,-0.000165,0.000048
1771284300,2026-02-16 23:25:00,30.9900,68615.70,0.00045165,0.8591,0.5603,191.4,3.0450,3.045045,70.226135,82.524621,0.000000,0.336067,0.611044,1.532869,-0.195989,0.952565,-0.307652,-10.510227,0.000010,-1.0000,-0.6742,-1.0000,0.2844,0.3361,0.3055,-1.0000,-0.3920,1.0000,-0.6153,0.2102,-0.0100,-0.3156,SHORT_HYPE_LONG_BTC,0.0000|0.000000,30.9605,68622.50,30.9900,68615.70,0.000040,0.000030
1771284600,2026-02-16 23:30:00,30.9080,68600.70,0.00045055,0.8528,0.5672,69.7,2.5739,2.573946,64.379056,48.736090,0.000000,0.345261,0.627932,1.266319,-0.129254,-0.286782,0.672278,-8.217581,-0.000072,-1.0000,-0.4793,0.0421,0.3014,0.3453,0.3140,-1.0000,-0.2585,-0.9559,1.0000,0.1644,0.0720,-0.2524,FLAT,0.0000|0.000000,30.8940,68626.00,30.9080,68600.70,-0.000050,0.000022
1771284900,2026-02-16 23:35:00,31.0040,68680.00,0.00045143,0.8624,0.5767,173.3,2.7108,2.710770,66.764007,75.756797,0.000000,0.366932,0.651495,1.431274,-0.046712,-0.457260,0.194273,-13.936447,0.000014,-1.0000,-0.5588,-0.8586,0.3881,0.3669,0.3257,-1.0000,-0.0934,-1.0000,0.3885,0.2787,-0.0140,-0.3393,SHORT_HYPE_LONG_BTC,0.0000|0.000000,30.9635,68686.00,31.0040,68680.00,0.000015,0.000001
1771285200,2026-02-16 23:40:00,30.8980,68654.00,0.00045005,0.8497,0.5712,37.0,2.2224,2.222351,59.995807,28.363161,0.000000,0.342640,0.653042,1.105425,-0.118077,-0.085089,0.158274,14.191735,-0.000030,-1.0000,-0.3332,0.7212,0.1987,0.3426,0.3265,-1.0000,-0.2362,-0.2836,0.3165,-0.2838,0.0300,-0.2194,FLAT,0.0000|0.000000,30.9450,68661.00,30.8980,68654.00,-0.000014,0.000016
1771285500,2026-02-16 23:45:00,31.0080,68843.60,0.00045041,1.0466,0.5350,66.5,2.2430,2.242994,61.104079,36.123723,0.000000,0.327428,0.656679,1.155847,-0.592881,-0.424451,-0.081914,-0.139392,0.000108,-1.0000,-0.3701,0.4625,0.0876,0.3274,0.3283,-1.0000,-1.0000,-1.0000,-0.1638,0.0028,-0.1080,-0.4126,SHORT_HYPE_LONG_BTC,0.0000|0.000000,31.0100,68849.00,31.0080,68843.60,0.000128,0.000020
1771285800,2026-02-16 23:50:00,31.1730,68956.30,0.00045207,1.0928,0.5543,inf,2.5963,2.596286,65.818740,69.137663,0.000000,0.350567,0.678135,1.472475,-0.107762,-0.020176,0.132626,0.344551,0.000119,-1.0000,-0.5273,-0.6379,0.2124,0.3506,0.3391,-1.0000,-0.2155,-0.0673,0.2653,-0.0069,-0.1190,-0.3053,SHORT_HYPE_LONG_BTC,0.0000|0.000000,31.1710,68949.50,31.1730,68956.30,0.000128,0.000009
1771286100,2026-02-16 23:55:00,31.2460,68862.50,0.00045374,1.0535,0.5382,inf,2.8985,2.898469,69.805812,97.056733,0.000000,0.401531,0.715338,0.000000,-0.178743,0.386439,0.034250,-9.788038,0.000119,-1.0000,-0.6602,-1.0000,0.4808,0.4015,0.3577,-0.0000,-0.3575,1.0000,0.0685,0.1958,-0.1190,-0.1718,FLAT,0.0000|0.000000,31.2195,68871.50,31.2460,68862.50,0.000130,0.000011
